# InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
 117 2.93750E+18 0.000000000000000 0.000000 0.200540 19552.231532356101525 0.185858 19552.231532356094249 0.000000 19552.231532356036041 0.000000 19552.231532355890522 0.014683 19552.231532356090611 0.0000000000
 118 2.96250E+18 0.000000000000000 0.000000 0.200613 19559.351318565582915 0.185925 19559.351318565582915 0.000000 19559.351318565582915 0.000000 19559.351318565466499 0.014688 19559.351318565586553 0.0000000000
 119 2.98750E+18 0.000000000000000 0.000000 0.200685 19566.338232722329849 0.185992 19566.338232722322573 0.000000 19566.338232722275279 0.000000 19566.338232722460816 0.014693 19566.338232722322573 0.0000000000
 120 3.01250E+18 0.000000000000000 0.000000 0.200755 19573.195437211365061 0.186057 19573.195437211365061 0.000000 19573.195437211357785 0.000000 19573.195437211310491 0.014699 19573.195437211365061 0.0000000000
 121 3.03750E+18 0.000000000000000 0.000000 0.200825 19579.926006696361583 0.186121 19579.926006696361583 0.000000 19579.926006696350669 0.000000 19579.926006696277909 0.014704 19579.926006696365221 0.0000000000
 122 3.06250E+18 0.000000000000000 0.000000 0.200892 19586.532930823817878 0.186184 19586.532930823814240 0.000000 19586.532930823781498 0.000000 19586.532930823774223 0.014709 19586.532930823814240 0.0000000000
 123 3.08750E+18 0.000000000000000 0.000000 0.200959 19593.019388081964280 0.186245 19593.019388081971556 0.000000 19593.019388081946090 0.000000 19593.019388081938814 0.014713 19593.019388081975194 0.0000000000
 124 3.11250E+18 0.000000000000000 0.000000 0.201024 19599.387646490777115 0.186306 19599.387646490780753 0.000000 19599.387646490795305 0.000000 19599.387646490558836 0.014718 19599.387646490780753 0.0000000000
 125 3.13750E+18 0.000000000000000 0.000000 0.201088 19605.640744629672554 0.186365 19605.640744629672554 0.000000 19605.640744629712572 0.000000 19605.640744629614346 0.014723 19605.640744629672554 0.0000000000
 126 3.16250E+18 0.000000000000000 0.000000 0.201151 19611.781357275038317 0.186424 19611.781357275038317 0.000000 19611.781357275085611 0.000000 19611.781357274856418 0.014727 19611.781357275045593 0.0000000000
 127 3.18750E+18 0.000000000000000 0.000000 0.201213 19617.812301226007548 0.186481 19617.812301226014824 0.000000 19617.812301226083946 0.000000 19617.812301225865667 0.014732 19617.812301226014824 0.0000000000
