# ﻿InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
  71 1.78750E+018 0.000000000000000 0.000000 0.194844 18996.843644430926361 0.180578 18996.843644430929999 0.000000 18996.843644430926361 0.000000 18996.843644430806307 0.014266 18996.843644430929999 0.0000000000
  72 1.81250E+018 0.000000000000000 0.000000 0.195039 19015.842659295438352 0.180759 19015.842659295434714 0.000000 19015.842659295478370 0.000000 19015.842659295311023 0.014280 19015.842659295441990 0.0000000000
  73 1.83750E+018 0.000000000000000 0.000000 0.195229 19034.392663150356384 0.180935 19034.392663150360022 0.000000 19034.392663150403678 0.000000 19034.392663150152657 0.014294 19034.392663150360022 0.0000000000
  74 1.86250E+018 0.000000000000000 0.000000 0.195415 19052.500231902504311 0.181107 19052.500231902507949 0.000000 19052.500231902537053 0.000000 19052.500231902504311 0.014307 19052.500231902507949 0.0000000000
  75 1.88750E+018 0.000000000000000 0.000000 0.195596 19070.184383108098700 0.181276 19070.184383108091424 0.000000 19070.184383108058682 0.000000 19070.184383108069596 0.014321 19070.184383108091424 0.0000000000
  76 1.91250E+018 0.000000000000000 0.000000 0.195773 19087.451389627010940 0.181440 19087.451389627007302 0.000000 19087.451389627029130 0.000000 19087.451389627014578 0.014334 19087.451389627003664 0.0000000000
  77 1.93750E+018 0.000000000000000 0.000000 0.195946 19104.318863290340232 0.181600 19104.318863290336594 0.000000 19104.318863290307490 0.000000 19104.318863290278387 0.014346 19104.318863290336594 0.0000000000
  78 1.96250E+018 0.000000000000000 0.000000 0.196115 19120.795365435464191 0.181757 19120.795365435471467 0.000000 19120.795365435489657 0.000000 19120.795365435409622 0.014359 19120.795365435467829 0.0000000000
  79 1.98750E+018 0.000000000000000 0.000000 0.196280 19136.889539120616973 0.181910 19136.889539120613335 0.000000 19136.889539120562404 0.000000 19136.889539120791596 0.014371 19136.889539120609697 0.0000000000
  80 2.01250E+018 0.000000000000000 0.000000 0.196442 19152.617121558967483 0.182059 19152.617121558971121 0.000000 19152.617121558952931 0.000000 19152.617121558952931 0.014383 19152.617121558971121 0.0000000000
  81 2.03750E+018 0.000000000000000 0.000000 0.196599 19167.985938499470649 0.182205 19167.985938499470649 0.000000 19167.985938499456097 0.000000 19167.985938499536132 0.014394 19167.985938499470649 0.0000000000
  82 2.06250E+018 0.000000000000000 0.000000 0.196753 19183.006028143718140 0.182348 19183.006028143714502 0.000000 19183.006028143765434 0.000000 19183.006028143783624 0.014405 19183.006028143718140 0.0000000000
  83 2.08750E+018 0.000000000000000 0.000000 0.196904 19197.685069731262047 0.182488 19197.685069731269323 0.000000 19197.685069731312979 0.000000 19197.685069731422118 0.014417 19197.685069731269323 0.0000000000
  84 2.11250E+018 0.000000000000000 0.000000 0.197051 19212.036611169092794 0.182624 19212.036611169096432 0.000000 19212.036611169074604 0.000000 19212.036611169147363 0.014427 19212.036611169096432 0.0000000000
  85 2.13750E+018 0.000000000000000 0.000000 0.197195 19226.067625482945004 0.182757 19226.067625482937729 0.000000 19226.067625482955918 0.000000 19226.067625482995936 0.014438 19226.067625482937729 0.0000000000
  86 2.16250E+018 0.000000000000000 0.000000 0.197336 19239.786914923246513 0.182888 19239.786914923250151 0.000000 19239.786914923239237 0.000000 19239.786914923213772 0.014448 19239.786914923250151 0.0000000000
  87 2.18750E+018 0.000000000000000 0.000000 0.197473 19253.203000922083447 0.183015 19253.203000922083447 0.000000 19253.203000922061619 0.000000 19253.203000922068895 0.014458 19253.203000922083447 0.0000000000
  88 2.21250E+018 0.000000000000000 0.000000 0.197608 19266.324134421909548 0.183140 19266.324134421902272 0.000000 19266.324134421880444 0.000000 19266.324134421738563 0.014468 19266.324134421902272 0.0000000000
  89 2.23750E+018 0.000000000000000 0.000000 0.197740 19279.158305742079392 0.183262 19279.158305742083030 0.000000 19279.158305742079392 0.000000 19279.158305742228549 0.014478 19279.158305742079392 0.0000000000
  90 2.26250E+018 0.000000000000000 0.000000 0.197868 19291.714717952534556 0.183381 19291.714717952530918 0.000000 19291.714717952505453 0.000000 19291.714717952352657 0.014487 19291.714717952527280 0.0000000000
  91 2.28750E+018 0.000000000000000 0.000000 0.197994 19303.997867370831955 0.183498 19303.997867370839231 0.000000 19303.997867370886524 0.000000 19303.997867370973836 0.014496 19303.997867370839231 0.0000000000
  92 2.31250E+018 0.000000000000000 0.000000 0.198118 19316.016556667076657 0.183612 19316.016556667080295 0.000000 19316.016556667022087 0.000000 19316.016556666851102 0.014505 19316.016556667083933 0.0000000000
  93 2.33750E+018 0.000000000000000 0.000000 0.198238 19327.777824462817080 0.183724 19327.777824462820718 0.000000 19327.777824462787976 0.000000 19327.777824462824356 0.014514 19327.777824462813442 0.0000000000
  94 2.36250E+018 0.000000000000000 0.000000 0.198356 19339.288492303654493 0.183834 19339.288492303650855 0.000000 19339.288492303599924 0.000000 19339.288492303316161 0.014523 19339.288492303650855 0.0000000000
  95 2.38750E+018 0.000000000000000 0.000000 0.198472 19350.556322858297790 0.183941 19350.556322858283238 0.000000 19350.556322858257772 0.000000 19350.556322858243220 0.014531 19350.556322858283238 0.0000000000
  96 2.41250E+018 0.000000000000000 0.000000 0.198585 19361.585361794746859 0.184045 19361.585361794735945 0.000000 19361.585361794703203 0.000000 19361.585361794455821 0.014540 19361.585361794735945 0.0000000000
  97 2.43750E+018 0.000000000000000 0.000000 0.198696 19372.383040306871408 0.184148 19372.383040306860494 0.000000 19372.383040306871408 0.000000 19372.383040306693147 0.014548 19372.383040306864132 0.0000000000
  98 2.46250E+018 0.000000000000000 0.000000 0.198804 19382.956378196686273 0.184249 19382.956378196678997 0.000000 19382.956378196678997 0.000000 19382.956378196533478 0.014556 19382.956378196682635 0.0000000000
  99 2.48750E+018 0.000000000000000 0.000000 0.198910 19393.309176772356295 0.184347 19393.309176772349019 0.000000 19393.309176772309002 0.000000 19393.309176772443607 0.014563 19393.309176772345381 0.0000000000
 100 2.51250E+018 0.000000000000000 0.000000 0.199014 19403.449061747160158 0.184443 19403.449061747163796 0.000000 19403.449061747131054 0.000000 19403.449061746869120 0.014571 19403.449061747167434 0.0000000000
 101 2.53750E+018 0.000000000000000 0.000000 0.199116 19413.379672681239754 0.184538 19413.379672681239754 0.000000 19413.379672681177908 0.000000 19413.379672681170632 0.014578 19413.379672681239754 0.0000000000
 102 2.56250E+018 0.000000000000000 0.000000 0.199216 19423.108123345085914 0.184630 19423.108123345078639 0.000000 19423.108123345049535 0.000000 19423.108123344980413 0.014586 19423.108123345075001 0.0000000000
 103 2.58750E+018 0.000000000000000 0.000000 0.199314 19432.637905598428915 0.184721 19432.637905598428915 0.000000 19432.637905598377984 0.000000 19432.637905598374346 0.014593 19432.637905598421639 0.0000000000
